Analytics TableName,Analytic Field Name,Analytic Field Description,Is Primary Key,Foreign Key Config,Field Type,Values if Dropdown Field,Bigquery Field Name,Biquery ViewName,Should consider for Analytics
AllApplications,application_id,Unique identifier for each application. It is also referred to as pipeline_item_id. Use this field to uniquely identify and reference specific applications in queries and joins.,Yes,,PLAIN_TEXT,,application_id,bn_prod_analytics.all_applications,Yes
AllApplications,file_id,Official file reference number assigned to each application. Also called file number (file no.). It will be generally used as a key to search application details by citizen / officer / architect....,,,PLAIN_TEXT,,file_id,bn_prod_analytics.all_applications,Yes
AllApplications,application_created_datetime,"Date and time when the application record was first created in the system. Use for temporal analysis, filtering by creation periods, or tracking application created patterns.",,,DATE_TIME,,application_created_datetime,bn_prod_analytics.all_applications,Yes
AllApplications,application_type,This is the main classification for the type of application proposed.,,,DROPDOWN,"Instant Registration
Single Window
Instant Approval",application_type,bn_prod_analytics.all_applications,Yes
AllApplications,proposal_type,Specific subcategory within the application_type that details the exact nature of the construction/development work. Provides more granular classification than application_type.,,,DROPDOWN,"Building Permission
Compound Wall
Layout Open Plot
Layout with Housing Under Gated Community (With Compound Wall)
Layout with Housing without Gated and Community",proposal_type,bn_prod_analytics.all_applications,Yes
AllApplications,authority,Government agency or municipal body responsible for processing and approving the application. Use to filter applications by reviewing authority or analyze workload distribution.,,,DROPDOWN,"DTCP
GHMC
HMDA",authority,bn_prod_analytics.all_applications,Yes
AllApplications,name_of_applicant,Full legal name of the person or entity submitting the application. May contain null values for incomplete records. Use for applicant identification and analysis.,,,PLAIN_TEXT,,name_of_applicant,bn_prod_analytics.all_applications,Yes
AllApplications,scrutiny_status,Current status of the automated CAD drawing scrutiny process. Indicates whether technical drawings have passed automated scrutiny checks.,,,DROP_DOWN,"Failed
Success
In Progress",scrutiny_status,bn_prod_analytics.all_applications,No
AllApplications,architect_name,Name of the licensed architect who prepared the building plans / layout plan,,,PLAIN_TEXT,,architect_name,bn_prod_analytics.all_applications,Yes
AllApplications,customer_id,Unique identifier for the applicant,,,PLAIN_TEXT,,customer_id,bn_prod_analytics.all_applications,No
AllApplications,architect_id,Unique identifier for the architect,,,PLAIN_TEXT,,architect_id,bn_prod_analytics.all_applications,No
AllApplications,temp_file_id,"Temporary file identifier assigned when application is initially created, before official file_id is assigned. System generates this immediately upon application creation (format: BN12345678). Useful for tracking applications in early stages.",,,PLAIN_TEXT,,temp_file_id,bn_prod_analytics.all_applications,Yes
AllApplications,current_citizen_stage,Current status of the application that is displayed to the citizen. ,,,DROPDOWN,"Draft
Payment Pending
Under Department Verification
Other Department Verification In Progress
Shortfall
Revised Payment Pending
Approved
Rejected
Draft In Progress
Scrutiny Failed
Scrutiny Key Generated
Scrutiny Successful
Under Mortgage & Other Info Verification
Proceedings Generated
Processing Fee Pending
Submit TDR Details
Awaiting TDR Confirmation
Initiating Resubmission
Mortgage & Other Info pending
Issue in Mortgage & Other Info Details
Shortfall Scrutiny Failed
Issue in TDR Details
Application On-Hold
Issue in Relinquishment Details
Relinquishment Details Pending
Under Relinquishment Details Verification",current_citizen_stage,bn_prod_analytics.all_applications,Yes
AllApplications,current_citizen_stage_id,unique identifier corresponding to the current citizen stage,,,PLAIN_TEXT,,current_citizen_stage_id,bn_prod_analytics.all_applications,Yes
AllApplications,application_created_by,Indicates the submission method - whether the application was submitted directly by the citizen/applicant or through an architect.,,,DROPDOWN,"Citizen
Architect",application_created_by,bn_prod_analytics.all_applications,Yes
AllApplications,application_created_by_id,Unique identifier of the person (citizen or architect) who actually created the application record in the system. Use for tracking who initiated the application process.,,,PLAIN_TEXT,,application_created_by_id,bn_prod_analytics.all_applications,Yes
,,,,,,,,,
SubmittedApplications,application_id,Unique identifier for each application. It is also referred to as pipeline_item_id. Use this field to uniquely identify and reference specific applications in queries and joins.,Yes,"FK(AllApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,file_id,Official file reference number assigned to each application. Also called file number (file no.). It will be generally used as a key to search application details by citizen / officer / architect....,,,PLAIN_TEXT,,file_id,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,temp_file_id,"Temporary file identifier assigned when application is initially created, before official file_id is assigned. System generates this immediately upon application creation (format: BN12345678). Useful for tracking applications in early stages.",,,PLAIN_TEXT,,temp_file_id,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_type,"Primary classification indicating the type of application being submitted (e.g., Instant Registration, Single Window).",,,DROPDOWN,"Instant Registration
Single Window
Instant Approval",application_type,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,proposal_type,Specific subcategory under application_type that defines the nature of the proposed construction or development work in detail.,,,DROPDOWN,"Building Permission
Compound Wall
Layout Open Plot
Layout with Housing Under Gated Community (With Compound Wall)
Layout with Housing without Gated and Community",proposal_type,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,purpose_of_building,"Indicates the intended use of the proposed building, such as residential, commercial, institutional, or industrial purposes.",,,DROPDOWN,"Residential
Educational/institutional
Commercial
Public Utility
Non Residential
Storage
Medical
Industrial
Assembly",purpose_of_building,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,permission_type,"Specifies the type of request made in the application—such as new applications, revisions, alterations to previous applications, occupancy of buildings, or final layout approvals.",,,DROPDOWN,"New
Revision
Addition/Alteration
Occupancy Certificate
Final Layout",permission_type,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,officer_pipeline_id,,,,PLAIN_TEXT,,officer_pipeline_id,bn_prod_analytics.submitted_applications,No
SubmittedApplications,application_category,"A derived classification that combines details from proposal_type, permission_type, and building height to define the overall nature of the application.",,,DROPDOWN,"Occupancy Certificate
Compound Wall
Non-MSB
MSB
Layout Open Plot
Final Layout
Layout with Housing",application_category,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_office_category,"Indicates the administrative office category responsible for processing the application (e.g., Zonal Office, Circle Office, Head Office).",,,DROPDOWN,"Zonal Office
Local Office
Main Office
Head Office
Circle Office",application_office_category,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,authority,Government agency or municipal body responsible for processing and approving the application. Use to filter applications by reviewing authority or analyze workload distribution.,,,DROPDOWN,"DTCP
GHMC
HMDA",authority,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,name_of_applicant,Full legal name of the person or entity submitting the application. May contain null values for incomplete records. Use for applicant identification and analysis.,,,PLAIN_TEXT,,name_of_applicant,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,scrutiny_status,Current status of the automated CAD drawing scrutiny process. Indicates whether technical drawings have passed automated scrutiny checks.,,,DROP_DOWN,"Failed
Success
In Progress",scrutiny_status,bn_prod_analytics.submitted_applications,No
SubmittedApplications,architect_name,Name of the licensed architect who prepared the building plans / layout plan,,,PLAIN_TEXT,,architect_name,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,customer_id,Unique identifier for the applicant,,,PLAIN_TEXT,,customer_id,bn_prod_analytics.submitted_applications,No
SubmittedApplications,architect_id,Unique identifier for the architect,,,PLAIN_TEXT,,architect_id,bn_prod_analytics.submitted_applications,No
SubmittedApplications,application_created_by,Indicates the submission method - whether the application was submitted directly by the citizen/applicant or through an architect.,,,DROPDOWN,"Citizen
Architect",application_created_by,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_created_by_id,Unique identifier of the person (citizen or architect) who actually created the application record in the system. Use for tracking who initiated the application process.,,,PLAIN_TEXT,,application_created_by_id,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,district,Administrative division representing a district under which the application falls.,,,DROPDOWN,"Jagityal
Nalgonda
Hanumakonda
Jogulamba-Gadwal
Nagarkurnool
Wanaparthy
Kamareddy
Medak
Narayanapet
Suryapet
Mahabubnagar
Jangaon
Jayashankar-Bhupalpally
Nizamabad
Warangal
Adilabad
Sangareddy
Vikarabad
Karimnagar
Siddipet
Mahabubabad
Peddapally
Khammam
Rajanna Sircilla
Badradri-Kothagudem
Medchal - Malkajgiri
Rangareddy
Hyderabad
Yadadri - Bhuvanagiri
Nirmal
Mancherial
KomaramBheem-Asifabad",district,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,mandal,Subdivision of a district used for administrative purposes.,,,PLAIN_TEXT,,mandal,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,village,Name of the village related to the application,,,PLAIN_TEXT,,village,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,zone,"Geographical or jurisdictional division used for organizing areas, often larger than a circle.",,,DROPDOWN,"Kukatpally Zone
Serilingampally Zone
Khairathabad Zone
Charminar Zone
Secunderabad Zone
LB Nagar Zone
Ghatkesar Zone
Medchal Zone – I
Shamshabad Zone
Shankerpally Zone – II
Medchal Zone – II
Shankerpally Zone – I
Medchal Zone- I",zone,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,circle,A smaller administrative unit within a zone,,,DROPDOWN,"Serilingampally Circle 20
Chanda Nagar Circle 21
Kukatpally Circle 24
Gajularamaram Circle 26
Alwal Circle 27
Moosapet Circle 23
Qutbullapur Circle 25
Rajendra Nagar Circle 11
Saroor Nagar Circle 5
Malakpet Circle 6
Santosh Nagar Circle 7
Charminar Circle 9
LB Nagar Circle 4
Hayath Nagar Circle 3
Kapra Circle 1
Uppal Circle 2
Hayath Nagar - Circle 3
Ramachandrapuram & Patancheruvu Circle 22
Serilingampally - Circle 20
Chanda Nagar - Circle 21
Yousufguda Circle 19
Amberpet Circle 16
Musheerabad Circle 15
Begumpet Circle 30
Malkajgiri Circle 28
Secundrabad Circle 29
Alwal - Circle 27
Chandrayanagutta Circle 8
Falaknama Circle 10
Khairatabad Circle 17
Jubilee Hills Circle 18
Karwan Circle 13
Goshamahal Circle 14
Mehdipatnam Circle 12
Musheerabad - Circle 15
Malakpet - Circle 6",circle,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,ulb,"Name of the Urban Local Body (municipality, municipal corporation, or Gram Panchayat) under whose jurisdiction the application falls.",,,PLAIN_TEXT,,ulb,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,organization_type,"Type of the Urban Local Body (municipality, municipal corporation, or Gram Panchayat) under whose jurisdiction the application falls.",,,DROPDOWN,"Municipality
Municipal Corporation
Gram Panchayat",organization_type,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_created_datetime,"Date and time when the application record was first created in the system. Use for temporal analysis, filtering by creation periods, or tracking application created patterns.",,,DATE_TIME,,application_created_datetime,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,date_of_submission,Date and time when the application or request was submitted.,,,DATE_TIME,,date_of_submission,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,approved_datetime,Date and time when the application or request was officially approved.,,,DATE_TIME,,approved_datetime,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,rejected_datetime,Date and time when the application or request was rejected.,,,DATE_TIME,,rejected_datetime,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,shortfall_datetime,Date and time when the application or request was sent to shortfall for citizen,,,DATE_TIME,,shortfall_datetime,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,shortfall_count,Number of times an application was sent to shortfall,,,INTEGER,,shortfall_count,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,resubmitted_count,,,,INTEGER,,resubmitted_count,bn_prod_analytics.submitted_applications,No
SubmittedApplications,fee_intimation_issued_or_approved_datetime,Date and time when the fee intimation was either issued or approved.,,,DATE_TIME,,fee_intimation_issued_or_approved_datetime,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_remaining_time_left_in_sec,Every application will have an SLA with in which the officers needs to completer the processing. This field represents the time left for officers to complete processing the application,,,INTEGER,,application_remaining_time_left_in_sec,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,height,"Height in meters,  (e.g., building height ).",,,FLOAT,,height,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,current_officer_stage,Current status of the application as viewed or handled by the respective officer in the workflow.,,,DROPDOWN,"Under L1 Verification
Under L1(STO)/L1(TVO) Verification
Under (STO) Verification
Under L2 Verification
Under (TVO) Verification
Under L3 Verification
On Hold For Line Dept Remarks
Rejected
Shortfall
Revised Fee Intimation Sent
Approved
Under L1(APO/JPO)/L1(TVO) Verification
Under L1(ACP)/L1 (TVO) Verification
Under L1(SI)/L1(TTVO) Verification
Under (TTVO) Verification
Under (SI) Verification
Under L1(APO/JPO) Verification
Under L1(ACP) Verification
Under L4 Verification
Proceedings Generated
Final Payment Pending
Rejection Verification by L2
Awaiting TDR Confirmation
Final Payment Paid
Mortgage & Other Info pending
Under Post Payment Details Verification by L2
Issue Proceedings by L2
Post Payment Details Shortfall
Under Post Payment Details Verification by L1
Under Post Payment Details Verification by L3
Verify TDR Details
TDR Accepted by Owner
Verify TDR Details by L2
Rejected with Refund
Rejected without Refund
TDR Shortfall
Application On-Hold
Reject with Refund
TDR shortfall
Relinquishment Details Shortfall
Yet to Submit Relinquishment Deed",current_officer_stage,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,current_officer_stage_id,Unique identifier that maps to the current officer stage in the application's lifecycle.,,,PLAIN_TEXT,,current_officer_stage_id,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,current_citizen_stage,"Current status of the application as visible to the citizen/applicant, indicating the latest progress from their perspective.",,,DROPDOWN,"Draft
Payment Pending
Under Department Verification
Other Department Verification In Progress
Shortfall
Revised Payment Pending
Approved
Rejected
Draft In Progress
Scrutiny Failed
Scrutiny Key Generated
Scrutiny Successful
Under Mortgage & Other Info Verification
Proceedings Generated
Processing Fee Pending
Submit TDR Details
Awaiting TDR Confirmation
Initiating Resubmission
Mortgage & Other Info pending
Issue in Mortgage & Other Info Details
Shortfall Scrutiny Failed
Issue in TDR Details
Application On-Hold
Issue in Relinquishment Details
Relinquishment Details Pending
Under Relinquishment Details Verification",current_citizen_stage,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,current_citizen_stage_id,Unique identifier that corresponds to the current citizen-visible stage of the application.,,,PLAIN_TEXT,,current_citizen_stage_id,bn_prod_analytics.submitted_applications,Yes
